"10.21.2024","17.02.15","Blocks","SANDSTONE","64","38.3798","Vault","galeriu"
"10.21.2024","17.02.15","Blocks","SANDSTONE","64","38.4505","Vault","galeriu"
"10.21.2024","17.02.31","Blocks","SANDSTONE","64","38.5214","Vault","AckeCraft"
"10.21.2024","17.02.32","Blocks","SANDSTONE","64","38.5925","Vault","AckeCraft"
"10.21.2024","17.02.32","Blocks","SANDSTONE","64","38.664","Vault","AckeCraft"
"10.21.2024","17.02.32","Blocks","SANDSTONE","64","38.7357","Vault","AckeCraft"
"10.21.2024","17.02.33","Blocks","SANDSTONE","64","38.8076","Vault","AckeCraft"
"10.21.2024","17.20.49","Blocks","POLISHED_DIORITE","64","71.0276","Vault","comrad3v"
"10.21.2024","17.23.01","Blocks","DIORITE","28","29.5354","Vault","comrad3v"
"10.21.2024","17.30.02","Blocks","RED_SAND","64","40.3818","Vault","Dizmaniton"
"10.21.2024","17.30.02","Blocks","RED_SAND","64","40.4733","Vault","Dizmaniton"
"10.21.2024","17.30.03","Blocks","RED_SAND","64","40.5652","Vault","Dizmaniton"
"10.21.2024","17.30.03","Blocks","RED_SAND","64","40.6575","Vault","Dizmaniton"
"10.21.2024","17.30.03","Blocks","RED_SAND","64","40.7502","Vault","Dizmaniton"
"10.21.2024","17.30.04","Blocks","RED_SAND","64","40.8433","Vault","Dizmaniton"
"10.21.2024","17.30.05","Blocks","RED_SAND","64","40.9369","Vault","Dizmaniton"
"10.21.2024","17.30.12","Blocks","SAND","64","9.2387","Vault","AckeCraft"
"10.21.2024","17.30.13","Blocks","SAND","64","9.2502","Vault","AckeCraft"
"10.21.2024","17.30.13","Blocks","SAND","64","9.2618","Vault","AckeCraft"
"10.21.2024","17.30.13","Blocks","SAND","64","9.2734","Vault","AckeCraft"
"10.21.2024","17.30.14","Blocks","SAND","64","9.2851","Vault","AckeCraft"
"10.21.2024","17.30.14","Blocks","SAND","64","9.2967","Vault","AckeCraft"
"10.21.2024","17.30.14","Blocks","SAND","64","9.3084","Vault","AckeCraft"
"10.21.2024","17.30.14","Blocks","SAND","64","9.3202","Vault","AckeCraft"
"10.21.2024","17.30.14","Blocks","SAND","64","9.3319","Vault","AckeCraft"
"10.21.2024","17.30.15","Blocks","SAND","64","9.3437","Vault","AckeCraft"
"10.21.2024","17.30.15","Blocks","SAND","64","9.3555","Vault","AckeCraft"
"10.21.2024","17.30.15","Blocks","SAND","64","9.3674","Vault","AckeCraft"
"10.21.2024","17.30.15","Blocks","SAND","64","9.3793","Vault","AckeCraft"
"10.21.2024","17.30.15","Blocks","SAND","64","9.3912","Vault","AckeCraft"
"10.21.2024","17.30.16","Blocks","SAND","64","9.4031","Vault","AckeCraft"
"10.21.2024","17.30.16","Blocks","SAND","49","7.2073","Vault","AckeCraft"
"10.21.2024","17.32.12","Blocks","PACKED_MUD","64","118.3531","Vault","Dizmaniton"
"10.21.2024","17.32.13","Blocks","PACKED_MUD","64","118.6538","Vault","Dizmaniton"
"10.21.2024","17.33.55","Blocks","WHITE_CONCRETE","64","240.5128","Vault","usteam"
"10.21.2024","17.36.23","Blocks","WHITE_CONCRETE","2","6.9616","Vault","usteam"
"10.21.2024","17.40.01","Blocks","CALCITE","64","69.4973","Vault","C4RMIN3Ds"
"10.21.2024","17.40.01","Blocks","CALCITE","64","69.611","Vault","C4RMIN3Ds"
"10.21.2024","17.41.40","Blocks","SAND","64","10.9077","Vault","comrad3v"
"10.21.2024","17.41.40","Blocks","SAND","64","10.9238","Vault","comrad3v"
"10.21.2024","17.41.40","Blocks","SAND","64","10.94","Vault","comrad3v"
"10.21.2024","17.41.40","Blocks","SAND","64","10.9562","Vault","comrad3v"
"10.21.2024","17.42.01","Blocks","GRAVEL","64","11.3014","Vault","comrad3v"
"10.21.2024","17.42.01","Blocks","GRAVEL","64","11.3144","Vault","comrad3v"
"10.21.2024","17.42.02","Blocks","GRAVEL","64","11.3274","Vault","comrad3v"
"10.21.2024","17.42.02","Blocks","GRAVEL","64","11.3404","Vault","comrad3v"
"10.21.2024","17.43.01","Blocks","RED_SAND","64","37.2085","Vault","Dizmaniton"
"10.21.2024","17.43.02","Blocks","RED_SAND","64","37.2862","Vault","Dizmaniton"
"10.21.2024","17.43.02","Blocks","RED_SAND","64","37.3642","Vault","Dizmaniton"
"10.21.2024","17.43.02","Blocks","RED_SAND","64","37.4425","Vault","Dizmaniton"
"10.21.2024","17.43.02","Blocks","RED_SAND","64","37.5211","Vault","Dizmaniton"
"10.21.2024","17.43.03","Blocks","RED_SAND","64","37.6","Vault","Dizmaniton"
"10.21.2024","17.43.03","Blocks","RED_SAND","64","37.6793","Vault","Dizmaniton"
"10.21.2024","17.43.03","Blocks","RED_SAND","64","37.759","Vault","Dizmaniton"
"10.21.2024","17.43.04","Blocks","RED_SAND","64","37.8389","Vault","Dizmaniton"
"10.21.2024","17.45.42","Blocks","POLISHED_DIORITE","56","60.2606","Vault","comrad3v"
"10.21.2024","17.47.53","Blocks","POLISHED_DIORITE","64","67.8287","Vault","comrad3v"
"10.21.2024","17.47.53","Blocks","POLISHED_DIORITE","64","67.9333","Vault","comrad3v"
"10.21.2024","17.47.57","Blocks","DIORITE","64","70.1796","Vault","comrad3v"
"10.21.2024","17.48.10","Blocks","CUT_RED_SANDSTONE","64","222.2004","Vault","Dizmaniton"
"10.21.2024","17.48.11","Blocks","CUT_RED_SANDSTONE","64","222.9568","Vault","Dizmaniton"
"10.21.2024","17.48.58","Blocks","SMOOTH_RED_SANDSTONE","64","198.127","Vault","Dizmaniton"
"10.21.2024","17.48.58","Blocks","SMOOTH_RED_SANDSTONE","64","198.7282","Vault","Dizmaniton"
"10.21.2024","17.48.58","Blocks","SMOOTH_RED_SANDSTONE","64","199.3331","Vault","Dizmaniton"
"10.21.2024","17.52.07","Blocks","SANDSTONE","64","45.3787","Vault","AckeCraft"
"10.21.2024","17.52.07","Blocks","SANDSTONE","64","45.4775","Vault","AckeCraft"
"10.21.2024","17.52.08","Blocks","SANDSTONE","64","45.5767","Vault","AckeCraft"
"10.21.2024","17.52.09","Blocks","SANDSTONE","64","45.6764","Vault","AckeCraft"
"10.21.2024","17.57.05","Blocks","DIORITE","64","70.598","Vault","Dizmaniton"
"10.21.2024","17.57.06","Blocks","DIORITE","64","70.7153","Vault","Dizmaniton"
"10.21.2024","18.01.50","Blocks","GRASS_BLOCK","64","52.9823","Vault","DrGroovy"
"10.21.2024","18.05.11","Blocks","POLISHED_DIORITE","64","72.7731","Vault","comrad3v"
"10.21.2024","18.05.11","Blocks","POLISHED_DIORITE","64","72.8935","Vault","comrad3v"
